path,audio_file,place_title,citation
/venice01/,/audio/Venice01-Canal Grande.mp3,VENICE,"Pound, The Cantos"
/venice02/,/audio/Venice02-Bell.mp3,VENICE,"Pound, The Cantos"
/venice03/,/audio/Venice03-Fondamenta.mp3,VENICE,"Pound, The Cantos"
/hawaii01/,/audio/Hawaii01-Waikiki.mp3,HAWAIʻI,Kumulipo
/vancouver01/,/audio/Vancouver01-English bay.m4a,VANCOUVER,"Marlatt, Liquidities"
/vancouver02/,/audio/Vancouver02-Stanley park.m4a,VANCOUVER,"Marlatt, Liquidities"
/lisbon01/,/audio/Lisbon01-Boca do Inferno.mp3,PORTUGAL,"Andresen, Mar Novo"
/lisbon02/,/audio/Lisbon02-Cabo da Roca.mp3,PORTUGAL,"Andresen, Mar Novo"
/porto03/,/audio/Porto03-Leça da Palmeira.mp3,PORTUGAL,"Andresen, Mar Novo"
/lima01/,/audio/Lima01-Miraflores.m4a,LIMA,"Adán, La casa de cartón"
/ny01/,/audio/NY01-MTA.mp3,NEW YORK,"Ferlinghetti, A Coney Island of the Mind"
/coney02/,/audio/Coney Island02-Winter Bomba.mp3,NEW YORK,"Ferlinghetti, A Coney Island of the Mind"
/coney03/,/audio/Coney Island03-Winter Long Walk.m4a,NEW YORK,"Ferlinghetti, A Coney Island of the Mind"
/coney04/,/audio/Coney Island04-Summer Amusement Park Walk.m4a,NEW YORK,"Ferlinghetti, A Coney Island of the Mind"
/sf01/,/audio/SF01-Golden Gate Bridge.m4a,SAN FRANCISCO,"Jeffers, Carmel Point"
/sf02/,/audio/SF02-Alcatraz Island.mp3,SAN FRANCISCO,"Jeffers, Carmel Point"
/sf03/,/audio/SF03-California sea lion Fight.mp3,SAN FRANCISCO,"Jeffers, Carmel Point"
/sd01/,/audio/SD01-La Jolla Cove.m4a,SAN DIEGO,"Levertov, The Avowal"
/sd02/,/audio/SD02-Sea Lion.mp3,SAN DIEGO,"Levertov, The Avowal"
/sd03/,/audio/SD03-Cormorants.mp3,SAN DIEGO,"Levertov, The Avowal"
/la01/,/audio/LA01-Santa Monica.m4a,LOS ANGELES,"Weschler, L.A. Glows"
/pr01/,/audio/PR01-Castillo San Felipe del Morro.m4a,PUERTO RICO,"Walcott, The Sea Is History"
/pr02/,/audio/PR02-Condado Beach.m4a,PUERTO RICO,"Walcott, The Sea Is History"
/pr03/,/audio/PR03-Horse Ride 1.mp3,PUERTO RICO,"Walcott, The Sea Is History"
/pr04/,/audio/PR04-Horse Ride 2.mp3,PUERTO RICO,"Walcott, The Sea Is History"
/pr05/,/audio/PR05-Vieques.m4a,PUERTO RICO,"Walcott, The Sea Is History"
